"Producto","Categoría","Ubicación","Stock Actual","Stock Mínimo","Unidad","Estado","Responsable","Código de Barras"
"ADORNO FLORAL","Decoración","Templo Principal","2","1","pieza","OPTIMO","Mantenimiento","DEADOR1"
"ALFOMBRAS ROJAS","Decoración","Templo Principal","4","1","pieza","OPTIMO","Mantenimiento","DEALF4"
"ASPIRADORA","Limpieza","Templo Principal","1","1","pieza","OPTIMO","Mantenimiento","LIASP2"
"BATERIA ELECTRONICA","Instrumentos Musicales","Templo Principal","1","1","pieza","OPTIMO","Ministerio de Adoración","INSTB1"
"BEANS","Iluminación","Templo Principal","2","1","pieza","OPTIMO","Imagen y Producción","LUBEA3"
"BIOMBO ROJO","Mobiliario","Templo Principal","7","1","pieza","OPTIMO","Mantenimiento","MOBBI1"
"BRUTS","Iluminación","Templo Principal","2","1","pieza","OPTIMO","Imagen y Producción","LUBRU5"
"CABLES DE AUDIO","Accesorios","Templo Principal","30","6","pieza","OPTIMO","Imagen y Producción","COCAB2"
"CABLES DE LUCES","Accesorios","Templo Principal","35","7","pieza","OPTIMO","Imagen y Producción","COCAB1"
"CABLES DE PODER DE AUDIO","Accesorios","Templo Principal","2","1","pieza","OPTIMO","Imagen y Producción","COCAB3"
"COBS","Iluminación","Templo Principal","6","1","pieza","OPTIMO","Imagen y Producción","LUCOB2"
"COMPUTADORA","Tecnología","Templo Principal","1","1","pieza","OPTIMO","Imagen y Producción","TECOM1"
"CONSOLAS","Equipos","Templo Principal","2","1","pieza","OPTIMO","Imagen y Producción","EPCON1"
"CUADROS DECORATIVOS","Decoración","Templo Principal","10","2","pieza","OPTIMO","Mantenimiento","DEADOR2"
"ESCALERA","Limpieza","Templo Principal","1","1","pieza","OPTIMO","Mantenimiento","LIASP1"
"ESCALERA PEQUEÑA","Mobiliario","Templo Principal","2","1","pieza","OPTIMO","Mantenimiento","MOBES2"
"ESCALERAS DE CORO","Mobiliario","Templo Principal","2","1","pieza","OPTIMO","Mantenimiento","MOBIL1"
"ESTABILIZADOR DE CORRIENTE","Accesorios","Templo Principal","2","1","pieza","OPTIMO","Imagen y Producción","COEST4"
"ESTACIONES DE CORRIENTE","Accesorios","Templo Principal","5","1","pieza","OPTIMO","Imagen y Producción","COEST5"
"ESTUCHE DE PIANO","Seguridad","Templo Principal","1","1","pieza","DESGASTADO","Mantenimiento","ACCPA2"
"EXTINTOR","Seguridad","Templo Principal","2","1","pieza","OPTIMO","Mantenimiento","SEG1"
"FRESNELES","Iluminación","Templo Principal","4","1","pieza","OPTIMO","Imagen y Producción","LUFRE1"
"GUITARRA","Instrumentos Musicales","Templo Principal","1","1","pieza","OPTIMO","Ministerio de Adoración","INSTG1"
"MAQUINA DE HUMO","Iluminación","Templo Principal","2","1","pieza","OPTIMO","Imagen y Producción","LUMAQ9"
"MESA DE VIDIRIO","Mobiliario","Templo Principal","1","1","pieza","OPTIMO","Mantenimiento","MOBMV1"
"MESA PEQUEÑA","Mobiliario","Templo Principal","1","1","pieza","OPTIMO","Mantenimiento","MOBMP1"
"MESAS DE FIERRO","Mobiliario","Templo Principal","3","1","pieza","OPTIMO","Mantenimiento","MOMES1"
"MESAS GRANDES","Mobiliario","Templo Principal","14","2","pieza","OPTIMO","Mantenimiento","MOMEG2"
"MESAS GRANDES","Mobiliario","Templo Principal","14","2","pieza","OPTIMO","Mantenimiento","MOIMEG1"
"MICROFONOS INALAMBRICOS","Equipos","Templo Principal","4","1","pieza","OPTIMO","Imagen y Producción","EQMIC6"
"MINI PARLED","Iluminación","Templo Principal","6","1","pieza","OPTIMO","Imagen y Producción","LUMIN7"
"PANTALLA LED GRANDE","Tecnología","Templo Principal","1","1","pieza","OPTIMO","Mantenimiento","TECNPG1"
"PANTALLA MEDIANA","Tecnología","Templo Principal","1","1","pieza","OPTIMO","Imagen y Producción","TECNPM2"
"PARANTES DE INSTRUMENTOS","Accesorios","Templo Principal","3","1","pieza","OPTIMO","Imagen y Producción","COCAB4"
"PARANTES DE MICROFONO","Accesorios","Templo Principal","5","1","pieza","OPTIMO","Imagen y Producción","ACCPA1"
"PARANTES DE TECLADO","Accesorios","Templo Principal","2","1","pieza","OPTIMO","Imagen y Producción","ACCPA3"
"PARLANTES","Equipos","Templo Principal","2","1","pieza","OPTIMO","Imagen y Producción","EQBAT2"
"PARLED","Iluminación","Templo Principal","6","1","pieza","OPTIMO","Imagen y Producción","LUPAR6"
"PIANO GRANDE","Instrumentos Musicales","Templo Principal","1","1","pieza","OPTIMO","Ministerio de Adoración","INSTP1"
"PIANO MEDIANO","Instrumentos Musicales","Templo Principal","1","1","pieza","OPTIMO","Imagen y Producción","INSTPI2"
"PISCINA AZUL","Accesorios","Templo Principal","1","1","pieza","OPTIMO","Mantenimiento","ACCPI1"
"PISCINA AZUL","Accesorios","Templo Principal","1","1","pieza","OPTIMO","Mantenimiento","ACCPI2"
"PISO NEGRO","Accesorios","Templo Principal","2","1","pieza","OPTIMO","Mantenimiento","ACPI2"
"PISOS NEGROS","Accesorios","Templo Principal","14","2","pieza","OPTIMO","Mantenimiento","ACPI1"
"PISOS TRANSPARENTES","Accesorios","Templo Principal","2","1","pieza","OPTIMO","Mantenimiento","ACPI3"
"PIZARRA GRANDE","Accesorios","Templo Principal","1","1","pieza","OPTIMO","Mantenimiento","ACCPI3"
"SILLAS PLOMAS","Mobiliario","Templo Principal","246","49","pieza","OPTIMO","Mantenimiento","MOSILL2"
"SNAKE DIGITAL","Equipos","Templo Principal","1","1","pieza","OPTIMO","Imagen y Producción","EQSNA8"
"SPOTS","Iluminación","Templo Principal","2","1","pieza","OPTIMO","Imagen y Producción","LUSPO4"
"SWITCH DE RED","Equipos","Templo Principal","2","1","pieza","OPTIMO","Imagen y Producción","EQSWI7"
"WASH","Iluminación","Templo Principal","1","1","pieza","OPTIMO","Imagen y Producción","LUWAS8"
